"SystemSymbol","MT5Symbol"
"VTI","VTI"
"VIG","VIG"
"VNQ","VNQ"
"BND","BND"
"GLD","GLD"
"SPY","SPY"
"IEF","HOT.ETR"
"VCIT","VCIT"
"XLK","XLK"
"TLT","TLT"
